a,b,c,gamma,mu,LogLik
0.7,0.2,0.6,0.04,0.25,0
0.7,0.2,0.6,0.04,0.25,-74448.80559
0.73,0.2,0.6,0.04,0.25,-77975.35239
0.7,0.168,0.6,0.04,0.25,-97541.98625
0.82,0.168,0.6,0.04,0.25,-77186.12021
0.7,0.2,0.5832,0.04,0.25,-74435.057
0.73,0.2,0.5264,0.04,0.25,-74809.2079
0.7,0.247,0.4128,0.04,0.25,-78215.72879
0.7,0.2,0.6,0.041,0.25,-74370.93423
0.73,0.2,0.6,0.041,0.25,-76052.85761
0.7,0.247,0.6,0.05,0.25,-76214.04218
0.7,0.2,0.64,0.041,0.25,-74495.25326
0.7,0.2,0.6,0.04,0.246,-74589.4103
0.73,0.2,0.6,0.04,0.302,-74260.42302
0.7,0.168,0.6,0.04,0.162,-74701.44155
0.7,0.2,0.64,0.04,0.274,-74259.92699
0.7,0.2,0.6,0.041,0.246,-74298.36483
